In:,146.101.64.141/5419,193.240.145.129/1998;esp,reth30.1,Pkts:,0,Bytes:,0
In:,197.96.151.221/32964,193.240.145.129/40754;esp,reth30.1,Pkts:,0,Bytes:,0
In:,89.197.20.113/6257,193.240.145.129/5686;esp,reth30.1,Pkts:,0,Bytes:,0
In:,89.197.20.113/0,193.240.145.129/0;esp,reth30.1,Pkts:,0,Bytes:,0
In:,146.101.64.140/37939,193.240.145.129/28295;esp,reth30.1,Pkts:,0,Bytes:,0
In:,52.212.119.21/14573,193.240.145.129/4830;esp,reth30.1,Pkts:,0,Bytes:,0
In:,52.212.119.21/0,193.240.145.129/0;esp,reth30.1,Pkts:,0,Bytes:,0
In:,52.212.128.108/50966,193.240.145.129/11329;esp,reth30.1,Pkts:,0,Bytes:,0
In:,52.212.128.108/0,193.240.145.129/0;esp,reth30.1,Pkts:,0,Bytes:,0
In:,52.49.92.75/50570,193.240.145.129/18346;esp,reth30.1,Pkts:,0,Bytes:,0
In:,41.164.143.69/19857,193.240.145.131/3562;esp,reth30.1,Pkts:,0,Bytes:,0
In:,80.227.152.85/48846,193.240.145.131/45386;esp,reth30.1,Pkts:,0,Bytes:,0
In:,52.212.23.168/19653,193.240.145.129/20443;esp,reth30.1,Pkts:,0,Bytes:,0
In:,52.16.252.154/18074,193.240.145.129/64947;esp,reth30.1,Pkts:,0,Bytes:,0
In:,52.209.182.19/22223,193.240.145.129/53992;esp,reth30.1,Pkts:,0,Bytes:,0
In:,34.251.221.138/37196,193.240.145.129/34484;esp,reth30.1,Pkts:,0,Bytes:,0
In:,54.76.209.248/34992,193.240.145.129/41558;esp,reth30.1,Pkts:,0,Bytes:,0
In:,52.30.36.19/4500,193.240.145.129/4500;udp,reth30.1,Pkts:,0,Bytes:,0
In:,193.240.145.129/500,52.212.128.108/500;udp,.local..4,Pkts:,8271,Bytes:,2365536
Out:,52.212.128.108/500,193.240.145.129/500;udp,reth30.1,Pkts:,20676,Bytes:,4101976
In:,77.72.83.13/46487,193.240.145.158/3505;tcp,reth30.1,Pkts:,1,Bytes:,40
Out:,193.240.145.158/3505,77.72.83.13/46487;tcp,reth30.0,Pkts:,0,Bytes:,0
In:,79.173.83.55/44549,193.240.145.142/512;icmp,reth30.1,Pkts:,1,Bytes:,28
Out:,193.240.145.142/512,79.173.83.55/44549;icmp,reth30.0,Pkts:,0,Bytes:,0
In:,212.61.24.35/13979,193.240.145.129/42445;esp,reth30.1,Pkts:,0,Bytes:,0
In:,52.209.135.136/4500,193.240.145.129/4500;udp,reth30.1,Pkts:,0,Bytes:,0
In:,52.212.128.108/4500,193.240.145.129/4500;udp,reth30.1,Pkts:,0,Bytes:,0
In:,37.58.24.172/500,193.240.145.129/500;udp,reth30.1,Pkts:,1978,Bytes:,561752
Out:,193.240.145.129/500,37.58.24.172/500;udp,.local..4,Pkts:,1965,Bytes:,255450
In:,212.61.24.35/52644,193.240.145.129/475;esp,reth30.1,Pkts:,0,Bytes:,0
In:,52.30.11.229/4500,193.240.145.129/4500;udp,reth30.1,Pkts:,0,Bytes:,0
In:,52.212.23.168/4500,193.240.145.129/4500;udp,reth30.1,Pkts:,0,Bytes:,0
In:,52.49.92.75/4500,193.240.145.129/4500;udp,reth30.1,Pkts:,0,Bytes:,0
In:,193.240.145.131/500,82.141.192.102/500;udp,.local..4,Pkts:,3723,Bytes:,1176468
Out:,82.141.192.102/500,193.240.145.131/500;udp,reth30.1,Pkts:,0,Bytes:,0
In:,54.76.209.248/4500,193.240.145.129/4500;udp,reth30.1,Pkts:,0,Bytes:,0
In:,194.145.154.83/0,193.240.145.129/0;ah,reth30.1,Pkts:,0,Bytes:,0
In:,188.166.117.99/54724,193.240.145.140/2375;tcp,reth30.1,Pkts:,1,Bytes:,40
Out:,193.240.145.140/2375,188.166.117.99/54724;tcp,reth30.0,Pkts:,0,Bytes:,0
In:,196.52.43.56/6666,193.240.145.159/5900;tcp,reth30.1,Pkts:,1,Bytes:,40
